image_name,target
ISIC_0052060,2.09E-06
ISIC_0052349,1.25E-06
ISIC_0058510,2.51E-12
ISIC_0073313,1.61E-10
ISIC_0073502,0.001540274
ISIC_0074618,0.042660194
ISIC_0076801,0.000352043
ISIC_0077586,7.69E-07
ISIC_0082004,2.4E-09
ISIC_0082785,7.81E-06
ISIC_0085332,1.9E-13
ISIC_0087243,7.08E-12
ISIC_0088167,1.49E-09
ISIC_0089356,3.24E-11
ISIC_0090283,0.000865988
ISIC_0092481,2.68E-09
ISIC_0095455,1.55E-05
ISIC_0095790,3.61E-10
ISIC_0097719,0.286577874
ISIC_0099348,0.000863422
ISIC_0101040,2.87E-07
ISIC_0101383,6.43E-05
ISIC_0105104,1.67E-06
ISIC_0108196,8.12E-06
ISIC_0112420,0.55061909
ISIC_0114232,5.09E-10
ISIC_0115798,2.47E-11
ISIC_0116844,1.98E-14
ISIC_0126432,0.010909348
ISIC_0131485,8.22E-10
ISIC_0131912,2.17E-09
ISIC_0131978,1.47E-13
ISIC_0139322,4.47E-14
ISIC_0142066,2.13E-06
ISIC_0143109,3.9E-09
ISIC_0148210,7.67E-07
ISIC_0148937,3.31E-05
ISIC_0150213,0.047199602
ISIC_0152553,7.69E-13
ISIC_0153127,3.01E-07
ISIC_0154289,3.54E-06
ISIC_0155813,0.295758462
ISIC_0155983,0.776435
ISIC_0157088,4.62E-05
ISIC_0158761,5.34E-09
ISIC_0161963,9.21E-07
ISIC_0165178,0.225196394
ISIC_0165230,0.148346363
ISIC_0165615,1.78E-06
ISIC_0165617,0.002559265
ISIC_0165674,5.73E-09
ISIC_0165928,0.161093666
ISIC_0166561,1.44E-10
ISIC_0168125,0.104188972
ISIC_0169378,5.48E-06
ISIC_0169575,4.5E-07
ISIC_0169906,0.605820619
ISIC_0171865,0.631104665
ISIC_0172678,8.05E-13
ISIC_0174800,0.00018786
ISIC_0175014,7.64E-08
ISIC_0175798,0.930051627
ISIC_0176152,0.044998022
ISIC_0177083,4.58E-06
ISIC_0178235,0.172476283
ISIC_0178258,1.29E-06
ISIC_0178428,1.11E-05
ISIC_0178741,0.001361801
ISIC_0180057,6.98E-06
ISIC_0182213,0.000643997
ISIC_0183334,4.46E-07
ISIC_0183449,0.218510962
ISIC_0183658,9.04E-13
ISIC_0183771,6.9E-11
ISIC_0186715,0.000141442
ISIC_0187786,1.63E-09
ISIC_0188485,1.71E-05
ISIC_0191895,0.639614007
ISIC_0192184,3.95E-10
ISIC_0192807,8.7E-12
ISIC_0193289,0.254138965
ISIC_0194115,0.017637727
ISIC_0195744,0.070823574
ISIC_0195995,2.04E-05
ISIC_0196159,0.009010379
ISIC_0196622,1.18E-10
ISIC_0196807,1.8E-05
ISIC_0197182,9.88E-08
ISIC_0197440,7.55E-07
ISIC_0197860,1.86E-07
ISIC_0198376,4.65E-08
ISIC_0198622,0.000112156
ISIC_0199195,1.06E-05
ISIC_0199718,3.87E-07
ISIC_0199780,1.49E-09
ISIC_0200120,0.273334963
ISIC_0204399,1.45E-11
ISIC_0204875,4.11E-09
ISIC_0205627,2.58E-06
ISIC_0206261,0.000219999
ISIC_0206934,0.027770343
ISIC_0207197,0.003821024
ISIC_0208233,0.13990074
ISIC_0209640,9.56E-11
ISIC_0210915,1.52E-08
ISIC_0212435,1.53E-08
ISIC_0212468,7.06E-07
ISIC_0213848,6.95E-09
ISIC_0216203,1.4E-06
ISIC_0216447,0.279828154
ISIC_0220438,0.996359291
ISIC_0220466,2.94E-05
ISIC_0223354,9.88E-15
ISIC_0223463,0.00521081
ISIC_0223760,2.71E-05
ISIC_0224309,1.3E-13
ISIC_0225471,0.002771973
ISIC_0225894,0.019354208
ISIC_0226234,3.61E-09
ISIC_0227767,3.88E-12
ISIC_0228452,3E-14
ISIC_0229266,9.71E-06
ISIC_0230247,9.78E-07
ISIC_0230499,2.37E-06
ISIC_0231539,9.91E-12
ISIC_0231788,2.77E-06
ISIC_0232763,0.063375882
ISIC_0235107,5.05E-07
ISIC_0235501,0.134018962
ISIC_0235505,0.391792669
ISIC_0235542,3.09E-07
ISIC_0238185,1.04E-09
ISIC_0238872,0.110929466
ISIC_0239635,0.92238549
ISIC_0240839,7.34E-06
ISIC_0241566,6.46E-05
ISIC_0243686,6.07E-08
ISIC_0243937,3.38E-06
ISIC_0244266,2.22E-12
ISIC_0244465,6.48E-11
ISIC_0244617,1.72E-07
ISIC_0244885,0.003523995
ISIC_0245273,0.000146239
ISIC_0246008,1.46E-14
ISIC_0246211,0.000134934
ISIC_0248702,6.28E-09
ISIC_0251455,0.001587936
ISIC_0251656,7.89E-05
ISIC_0252811,0.065691512
ISIC_0254594,0.000594889
ISIC_0255112,1.34E-10
ISIC_0256267,3.51E-12
ISIC_0258149,4.12E-10
ISIC_0258489,0.001443588
ISIC_0258717,0.435076651
ISIC_0259209,0.545204763
ISIC_0259237,0.00521913
ISIC_0261866,2.67E-06
ISIC_0261904,8.88E-05
ISIC_0261907,1.02E-10
ISIC_0262392,0.001033682
ISIC_0262492,0.001644505
ISIC_0263920,7.06E-08
ISIC_0265011,7.51E-09
ISIC_0267082,2.03E-10
ISIC_0268025,1.96E-06
ISIC_0268451,6.05E-11
ISIC_0269476,1.25E-09
ISIC_0270022,4.1E-10
ISIC_0270367,6.77E-05
ISIC_0271223,6.65E-05
ISIC_0272190,2.71E-05
ISIC_0273533,3.51E-05
ISIC_0274458,0.863010626
ISIC_0274698,0.372431198
ISIC_0274789,0.198921908
ISIC_0276718,4.12E-10
ISIC_0280382,1.99E-05
ISIC_0280752,1.12E-08
ISIC_0280782,2.03E-07
ISIC_0280827,0.027005844
ISIC_0281227,0.019164522
ISIC_0282269,1.5E-07
ISIC_0282486,5.64E-06
ISIC_0282737,1.37E-08
ISIC_0284147,4.11E-12
ISIC_0284441,0.000511488
ISIC_0284485,1.73E-12
ISIC_0285491,2.13E-05
ISIC_0285697,0.023116551
ISIC_0286688,0.002396755
ISIC_0287132,1.04E-07
ISIC_0287325,0.446996696
ISIC_0288225,2.56E-08
ISIC_0290187,9.91E-09
ISIC_0291705,1.83E-12
ISIC_0292996,0.08990774
ISIC_0294150,3.15E-05
ISIC_0296540,1.05E-11
ISIC_0297539,2.63E-07
ISIC_0297702,2.82E-10
ISIC_0298417,0.000431791
ISIC_0299870,0.176607239
ISIC_0300002,3.99E-06
ISIC_0301547,5.34E-05
ISIC_0301769,4.64E-09
ISIC_0304467,7.19E-14
ISIC_0304666,1.12E-08
ISIC_0304667,0.000167895
ISIC_0306094,2.09E-09
ISIC_0307004,0.513129396
ISIC_0307411,0.00243475
ISIC_0309192,0.002624621
ISIC_0309503,0.002594105
ISIC_0310320,0.647826409
ISIC_0311235,0.985409252
ISIC_0311814,1.44E-08
ISIC_0312717,2.54E-12
ISIC_0313675,0.000699326
ISIC_0317285,0.00013887
ISIC_0318934,5.7E-10
ISIC_0319131,4.8E-07
ISIC_0319990,8.16E-11
ISIC_0320662,2.03E-10
ISIC_0321218,3.65E-12
ISIC_0321906,1.33E-05
ISIC_0321948,9.6E-10
ISIC_0322514,0.009570481
ISIC_0327756,0.000266264
ISIC_0328346,2.51E-09
ISIC_0328687,2.58E-11
ISIC_0328823,3.02E-12
ISIC_0329169,4.01E-06
ISIC_0329910,1.93E-06
ISIC_0330060,0.037882686
ISIC_0330886,1.62E-08
ISIC_0332421,2.16E-05
ISIC_0332456,0.393261334
ISIC_0334179,1.59E-10
ISIC_0335244,0.000131393
ISIC_0335886,5.1E-05
ISIC_0336093,0.041415548
ISIC_0338118,1.31E-06
ISIC_0338587,4.41E-07
ISIC_0339455,4.95E-06
ISIC_0340198,1.07E-07
ISIC_0340572,1.14E-09
ISIC_0341315,0.005738272
ISIC_0343131,0.011990306
ISIC_0343283,0.489042238
ISIC_0346766,3.12E-09
ISIC_0347157,1.52E-08
ISIC_0348342,9.75E-12
ISIC_0350347,0.179141061
ISIC_0350470,3.46E-11
ISIC_0351156,0.098425319
ISIC_0351912,1.93E-07
ISIC_0352620,4.4E-09
ISIC_0353021,6.18E-10
ISIC_0355377,3.66E-07
ISIC_0358260,8.81E-12
ISIC_0358623,3.09E-10
ISIC_0359676,4.59E-06
ISIC_0359720,1.62E-06
ISIC_0361122,7.37E-07
ISIC_0366488,1.85E-06
ISIC_0367795,4.59E-13
ISIC_0367988,0.864538879
ISIC_0368092,0.034047158
ISIC_0368696,9.04E-07
ISIC_0369888,4.85E-14
ISIC_0370322,0.019635485
ISIC_0371470,1.34E-09
ISIC_0371907,0.186921619
ISIC_0372927,3.3E-06
ISIC_0372955,1.2E-08
ISIC_0372971,7.4E-12
ISIC_0373723,3.31E-13
ISIC_0375431,2E-10
ISIC_0377642,0.000435203
ISIC_0378391,1.65E-11
ISIC_0378668,0.042806673
ISIC_0379549,1.07E-11
ISIC_0380224,7.8E-06
ISIC_0381595,0.009207361
ISIC_0382931,0.042673552
ISIC_0383641,0.033279214
ISIC_0383780,6.04E-16
ISIC_0385415,0.653847727
ISIC_0385463,0.005113871
ISIC_0385865,0.419004239
ISIC_0388802,1.47E-08
ISIC_0389010,0.000138622
ISIC_0389392,6.84E-06
ISIC_0389675,1.4E-08
ISIC_0390209,0.000126155
ISIC_0391046,0.222464169
ISIC_0391777,8.29E-09
